step,predicted_scaled,actual_scaled,residual_error,threshold,status,processing_time_ms,predicted_raw,actual_raw
9,0.2452,0.3036,0.0584,0.05,ANOMALY,471.177,47.86,52.44
10,0.2488,0.3699,0.1211,0.05,ANOMALY,322.224,48.14,57.64
11,0.2476,0.366,0.1185,0.05,ANOMALY,327.252,48.05,57.33
12,0.2502,0.3388,0.0886,0.05,ANOMALY,346.503,48.25,55.2
13,0.245,0.3794,0.1344,0.05,ANOMALY,339.594,47.84,58.38
14,0.2434,0.3541,0.1107,0.05,ANOMALY,318.442,47.72,56.4
15,0.2402,0.3034,0.0632,0.05,ANOMALY,322.348,47.47,52.42
16,0.2404,0.3504,0.1099,0.05,ANOMALY,318.61,47.49,56.11
17,0.2358,0.2996,0.0638,0.05,ANOMALY,330.383,47.12,52.12
18,0.2381,0.3699,0.1318,0.05,ANOMALY,329.957,47.3,57.64
19,0.2391,0.3343,0.0952,0.05,ANOMALY,329.703,47.38,54.85
20,0.2424,0.3292,0.0868,0.05,ANOMALY,322.377,47.64,54.45
21,0.2464,0.3102,0.0638,0.05,ANOMALY,337.69,47.95,52.96
22,0.2493,0.383,0.1337,0.05,ANOMALY,365.203,48.18,58.67
23,0.2532,0.3303,0.0772,0.05,ANOMALY,378.811,48.48,54.54
24,0.253,0.3199,0.0668,0.05,ANOMALY,389.269,48.47,53.72
25,0.2525,0.3228,0.0703,0.05,ANOMALY,386.613,48.43,53.94
26,0.2476,0.3566,0.1091,0.05,ANOMALY,335.473,48.05,56.6
27,0.2414,0.3502,0.1089,0.05,ANOMALY,338.153,47.56,56.1
28,0.2405,0.352,0.1116,0.05,ANOMALY,317.847,47.49,56.24
29,0.2347,0.3527,0.118,0.05,ANOMALY,318.741,47.04,56.29
30,0.2381,0.4182,0.18,0.05,ANOMALY,342.483,47.31,61.42
31,0.2402,0.3207,0.0805,0.05,ANOMALY,364.354,47.47,53.78
32,0.2431,0.3167,0.0735,0.05,ANOMALY,355.488,47.7,53.46
33,0.2485,0.3051,0.0567,0.05,ANOMALY,350.898,48.12,52.56
34,0.2525,0.3598,0.1073,0.05,ANOMALY,356.822,48.43,56.85
35,0.2572,0.3794,0.1223,0.05,ANOMALY,357.067,48.8,58.39
36,0.2537,0.3319,0.0782,0.05,ANOMALY,364.758,48.52,54.66
37,0.2506,0.3041,0.0535,0.05,ANOMALY,354.367,48.28,52.48
38,0.2505,0.3047,0.0542,0.05,ANOMALY,390.199,48.27,52.53
39,0.2507,0.3611,0.1104,0.05,ANOMALY,322.927,48.29,56.95
40,0.2527,0.3647,0.112,0.05,ANOMALY,323.964,48.45,57.23
41,0.2525,0.357,0.1046,0.05,ANOMALY,328.344,48.43,56.63
42,0.2541,0.3108,0.0567,0.05,ANOMALY,314.405,48.56,53.0
43,0.2555,0.3451,0.0896,0.05,ANOMALY,321.041,48.67,55.7
44,0.2569,0.3407,0.0839,0.05,ANOMALY,320.906,48.78,55.35
45,0.2543,0.3446,0.0903,0.05,ANOMALY,315.294,48.57,55.66
46,0.2533,0.3696,0.1163,0.05,ANOMALY,321.081,48.49,57.61
